propId, label, description, count,type
P504,home port,"home port of the vessel (if different from ship registry""): For civilian ships the primary port from which the ship operates. Port of registry (the one painted on the stern) should be listed in ""Ship registry"". For warships  this will be the ship's assigned naval base""",116,wikibase-item
P567,hangingwall,item that is in the hanging wall of this item,113,wikibase-item
P568,footwall,item that is in the footwall of this item,112,wikibase-item
P870,instrumentation,combination of musical instruments employed in a composition,111,wikibase-item
P912,facility,"the subject item has this type of facility, e.g. toilet, car park",109,wikibase-item
P547,commemorates,"what the place, monument, memorial, holiday, commemorates",108,wikibase-item
P1444,journey destination,"intended destination for this journey, flight, sailing, exploration, etc.",107,wikibase-item
P859,sponsor,enterprise that sponsors this item,103,wikibase-item
P469,lakes on river,"lakes and reservoirs the river flows through, flows into or flows out of",102,wikibase-item
P1424,topic's main template,primary infobox or navigational template of this subject,100,wikibase-item
P931,place served by airport,city or region served by this airport,97,wikibase-item
P500,exclave of,territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.,96,wikibase-item
P943,programmer,coder for a piece of software or a digital creative work such as a video game,96,wikibase-item
P780,symptoms,the possible symptoms of a medical condition,94,wikibase-item
P1445,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> described in the work:"" <work>""",93,wikibase-item
P457,foundational text,text through which an institution has been created,90,wikibase-item
P521,scheduled service destination,"airport or station connected by regular direct service to the subject, for the destination of a trip see P1444",86,wikibase-item
P744,asteroid family,population of asteroids that share similar proper orbital elements,86,wikibase-item
P1598,consecrator,bishop who presided as consecrator or co-consecrator of this bishop,84,wikibase-item
P1637,undercarriage,type of aircraft landing gear the item is equipped with,81,wikibase-item
P831,parent club,parent club of this team,79,wikibase-item
P833,interchange station,"station to which passengers can transfer to from this station, normally without extra expense",79,wikibase-item
P1574,exemplar of,"property for manuscripts, autographs, incunabula, distinct printed copies",76,wikibase-item
P803,professorship,professorship position held by this academic person,76,wikibase-item
P1363,points/goal scored by,person who scored a point or goal in a game,75,wikibase-item
P1582,natural product of taxon,"links a natural product with its source (animal, plant, fungal, algal, etc)",75,wikibase-item
P770,cause of destruction,item which caused the destruction of the subject item,75,wikibase-item
P43,stepfather,"husband of the subject's mother, who is not the subject's biological father",73,wikibase-item
P1672,this taxon is source of,"links a taxon to natural products it produces. Note that it does not say this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon.""",72,wikibase-item
P208,executive body,branch of government for the daily administration of the state,71,wikibase-item
P1302,primary destinations,major cities that a road serves,68,wikibase-item
P1416,affiliation,organization that a person is affiliated with,68,wikibase-item
P543,oath made by,"person(s) that made the oath at an event, like the Olympic Games",68,wikibase-item
P248,stated in,"to be used in the source field, to indicate where a claim is made",62,wikibase-item
P517,interaction,"with which of the 4 fundamental forces does the particle interact? strong interaction Q11415, electromagnetic: Q849919, weak interaction: Q11418, gravitation: Q11412",62,wikibase-item
P647,drafted by,which team the player was drafted by,62,wikibase-item
P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization",60,wikibase-item
P693,cleavage,way that crystals or minerals cleave,60,wikibase-item
P532,port of registry,"ship's port of registry. This is generally painted on the ship's stern (for the home port""see Property:P504)""",58,wikibase-item
P913,notation,mathematical notation or another symbol,58,wikibase-item
P167,structure replaced by,"the item which replaced this building or structure, at the same geographic location",57,wikibase-item
P523,temporal range start,the start of a process or appearance of a life form relative to the geologic time scale,56,wikibase-item
P524,temporal range end,the end of a process or extinction of a life form relative to the geologic time scale,56,wikibase-item
P1552,has quality,the entity has an inherent or distinguishing non-material characteristic that cannot be migrated,55,wikibase-item
P923,medical examinations,examinations that might be used to diagnose the medical condition,51,wikibase-item
P534,streak color,color of a mineral or material when abraded ,49,wikibase-item
P545,torch lit by,"person that lit the torch at an event, like the Olympic Games",49,wikibase-item
P1299,depicted by,object depicting this subject,48,wikibase-item
P1387,political alignment,political position within the political spectrum,48,wikibase-item
P822,mascot,"mascot of an organization, e.g. a sports team or university",45,wikibase-item
P1455,list of works,link to the article with the works of a person,42,wikibase-item
P1336,territory claimed by,administrative divisions that claim control of a given area,40,wikibase-item
P1478,has immediate cause,"nearest, proximate thing that directly resulted in this outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'.",39,wikibase-item
P44,stepmother,"wife of the subject's father, who is not the subject's biological mother",36,wikibase-item
P823,speaker,someone who takes a role as speaker in events like keynotes or presentations,36,wikibase-item
P1535,used by,"person or organization that uses a given object, for buildings use P466",34,wikibase-item
P1542,cause of,effect of this cause; inverse of has cause (P828). See 'Help:Modeling causes' for examples and discussion.,34,wikibase-item
P642,of,qualifiers stating that a statement applies within the scope of a particular item,34,wikibase-item
P807,separated from,subject was founded or started by separating from identified object,34,wikibase-item
P812,academic major,major someone studied at college/university,34,wikibase-item
P694,replaced synonym (for nom. nov.),"previously published name on which a replacement name (avowed substitute, nomen novum) is based.",33,wikibase-item
P399,companion of,two or more astronomic bodies of the same type relating to each other,32,wikibase-item
P881,type of variable star,type of variable star,32,wikibase-item
P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),28,wikibase-item
P514,interleaves with,stratigraphic relation in which two units overlap each other marginally,28,wikibase-item
P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to,27,wikibase-item
P1611,NATO code for grade,NATO Code for Grades of Military Personnel,27,wikibase-item
P1145,Lagrangian point,libration point of an object (default: object-sun-earth),25,wikibase-item
P751,introduced feature,which feature was introduced by this version of a product item,25,wikibase-item
P1479,has contributing factor,"thing that significantly influenced, but did not directly cause, this outcome or effect.  Used in conjunction with 'has cause' and 'has immediate cause'.  See 'Help:Modeling causes'.",24,wikibase-item
P689,afflicts,a type of organism which a condition or disease afflicts,24,wikibase-item
P1165,home world,home world/planet of a fictional race or character,23,wikibase-item
P533,target,target of a terrorist attack or military operation,23,wikibase-item
P1290,godparent,person who is the godparent of a given person,22,wikibase-item
P942,theme music,"the theme music/song used under licence by the item (film, event, sport club/team, person, etc.)",22,wikibase-item
P1318,proved by,person who proved something,20,wikibase-item
P541,office contested,title of office which election will determine the next holder of,20,wikibase-item
P1137,fossil found in this unit,fossils that are found in this stratigraphic unit,19,wikibase-item
P768,electoral district,"For members of legislative bodies (local or national), the electoral district the person is representing",19,wikibase-item
P1532,country for sport,country a person represents when playing a sport,18,wikibase-item
P634,captain,captain of this sports team,18,wikibase-item
P1264,valid in period,time period when a statement is valid,17,wikibase-item
P1558,tempo marking,indication about the speed or pace of a given musical piece,17,wikibase-item
P518,applies to part,part of the item for which the claim is valid,17,wikibase-item
P790,approved by,item is approved by other item(s) [qualifier: statement is approved by other item(s)],17,wikibase-item
P924,medical treatment,treatment that might be used to heal the medical condition,17,wikibase-item
P1429,pet,pet that a person owns,16,wikibase-item
P418,seal description,description of a subject's seal,16,wikibase-item
P459,determination method,qualifier stating how a value has been determined,16,wikibase-item
P1202,carries scientific instrument,"scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating",15,wikibase-item
P1158,location of landing,location where the craft landed,14,wikibase-item
P1557,manifestation of,this is the physical embodiment of a given concept,14,wikibase-item
P872,printed by,"organization that printed the creative work (if different from publisher"")""",14,wikibase-item
P129,physically interacts with,physical entity that the subject interacts with,13,wikibase-item
P537,twinning,type of twins a crystal forms,12,wikibase-item
P868,foods traditionally associated,foods consumed during the ceremony or associated with a certain settlement,12,wikibase-item
P1398,replaced by structure,building/structure which replaced the subject building or structure at the same location,11,wikibase-item
P1546,motto,description of the motto of the subject,11,wikibase-item
P1657,MPAA film rating,US film-rating system,11,wikibase-item
P1817,addressee,person or organization to whom a letter or note is addressed,11,wikibase-item
P1393,proxy,person authorized to act for another,10,wikibase-item
P1811,list of episodes,link to the article with the list of episodes for this series,9,wikibase-item
P415,radio format,describes the overall content broadcast on a radio station,9,wikibase-item
P795,distance along,distance from a defined datum point along a specified linear feature,9,wikibase-item
P916,GSRR rating,Taiwanese video game content rating system,9,wikibase-item
P1268,represents organisation,organization that an entity represents,8,wikibase-item
P1347,military casualty classification,,8,wikibase-item
P1406,script directionality,direction that a writing system goes in,8,wikibase-item
P1531,parents of hybrids,,8,wikibase-item
P1652,referee,referee or umpire of a match,8,wikibase-item
P423,shooting handedness,"whether the hockey, football, handball or tennis player etc. passes oŗ shoots left- or right-handed",8,wikibase-item
P468,dan/kyu rank,"rank system used in several board games (e.g. go, shogi, renju), martial arts (e.g. judo, kendo, wushu) and some other games",8,wikibase-item
P489,currency symbol description,item with description of currency symbol,8,wikibase-item
P1304,central bank,country's central bank,7,wikibase-item
P1571,codomain,codomain of a function,7,wikibase-item
P1622,drives on the,the direction that cars drive in a given country,7,wikibase-item
P707,satellite bus,general model on which multiple-production satellite spacecraft is based,7,wikibase-item
P538,fracturing,type of fracture a crystal or mineral forms,6,wikibase-item
P565,crystal habit,the proportions of a crystal or mineral,6,wikibase-item
P834,train depot,"depot which serves this railway line, not public stations",6,wikibase-item
P1327,professional or sports partner,person a professional or athlete works with,5,wikibase-item
P1568,domain,subset of the input set of a function for which every value has an image,5,wikibase-item
P1809,choreographer,person(s) who did the choreography,5,wikibase-item
P505,general manager,general manager of a sports team,5,wikibase-item
P1136,solved by,person that solved a scientific question,4,wikibase-item
P1199,mode of inheritance,the manner in which a particular genetic trait or disorder is passed from one generation to the next,4,wikibase-item
P1372,binding of software library,software library in another programming language provided by the subject software binding,4,wikibase-item
P1547,depends on,subject software depends on object software,4,wikibase-item
P1591,defendant,"person or organization accused, at a trial",4,wikibase-item
P1592,prosecutor,"person representing the prosecuting authority, at a trial",4,wikibase-item
P1595,charge,"offence with which someone is charged, at a trial",4,wikibase-item
P1620,plaintiff,the party who initiates a lawsuit,4,wikibase-item
P1789,chief operating officer,the chief operating officer of an organization,4,wikibase-item
P873,phase point,phase point to describe critical point and triple point (see talk page for an example),4,wikibase-item
P1534,end cause,qualifier for the end date property (P582),3,wikibase-item
P1537,contributing factor of,"thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion.",3,wikibase-item
P1596,penalty,"penalty passed, at a trial",3,wikibase-item
P1678,has vertex figure,the figure exposed when a corner of a polytope is sliced off,3,wikibase-item
P788,mushroom ecological type,,3,wikibase-item
P796,geo datum,zero point for measurement (qualifier for P795),3,wikibase-item
P797,executive authority,entity having executive power of decision in matters relating to the entity,3,wikibase-item
P817,decay mode,"type of decay that a radioactive isotope undergoes (should be used as a qualifier for decays to"")""",3,wikibase-item
P930,type of electrification,electrification system scheme and/or voltage,3,wikibase-item
P1211,fuel system,fuel system that an engine uses,2,wikibase-item
P1221,compressor type,,2,wikibase-item
P1349,ploidy,ploidy of a genome,2,wikibase-item
P1432,b-side,song/track which is the b-side of this single,2,wikibase-item
P1589,deepest point,"point with lowest elevation in the country, region, city or area",2,wikibase-item
P1605,has natural reservoir,host species for the pathogen in which it is endemic,2,wikibase-item
P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",2,wikibase-item
P1703,pollination,process that moves pollen from the male anthers of a flower to the female stigma of a flower to accomplish fertilization,2,wikibase-item
P1830,owner of,entities owned by the subject,2,wikibase-item
P447,score by,issuer of a review score,2,wikibase-item
P560,direction,a directional identifier of something,2,wikibase-item
P660,EC classification,the Enzyme Commission (EC)-based accepted name of any enzyme classifications of the protein or RNA molecule,2,wikibase-item
P784,mushroom cap shape,,2,wikibase-item
P787,spore print color,color of a mushroom spore print (see documentation for allowed values),2,wikibase-item
P887,based on heuristic,indicates that the property value is determined based on some heuristic (Q201413).,2,wikibase-item
P1170,transmitted signal,type of signal transmitted by a device,1,wikibase-item
P1171,approximation algorithm,method used to approximate a number,1,wikibase-item
P1194,received signal,signals detected by a machine,1,wikibase-item
P1210,supercharger,supercharger or turbocharger used by an engine,1,wikibase-item
P128,regulates (molecular biology),process regulated by a protein in molecular biology,1,wikibase-item
P1425,ecoregion (WWF),ecoregion of the item (choose from WWF's list),1,wikibase-item
P1536,immediate cause of,immediate cause of this effect,1,wikibase-item
P1593,defender,"Person representing the defendant, at a trial",1,wikibase-item
P1594,judge,"Judge, magistrate or equivalent, presiding at a trial",1,wikibase-item
P1604,biosafety level,level of the biocontainment precautions required to isolate dangerous biological agents,1,wikibase-item
P1606,natural reservoir of,pathogen of which this species is a long-term host,1,wikibase-item
P1625,has melody,this work has the melody of the following work,1,wikibase-item
P1640,curator,content specialist responsible for this collection,1,wikibase-item
P1660,has index case,"primary case, patient zero: initial patient in the population of an epidemiological investigation",1,wikibase-item
P1677,index case of,"primary case, patient zero: initial patient in the population of an epidemiological investigation",1,wikibase-item
P1704,pollenizer,source of pollen for an animal,1,wikibase-item
P1773,attributed to,uncertain but likely creator of an artwork,1,wikibase-item
P1774,workshop of,artist whose work group are the likely creator of an artwork,1,wikibase-item
P515,phase of matter,"state or phase of the matter at which the measure was made (gas, liquid, solid... See talk page)",1,wikibase-item
P546,docking port,docking port for the dock,1,wikibase-item
P550,chivalric order,the chivalric order which a person belongs to,1,wikibase-item
P756,removed feature,which feature was removed by this version of a product item,1,wikibase-item
P785,hymenium attachment,how the hymenium of the mushroom attaches to the stem,1,wikibase-item
P786,stipe character,indicates if a mushroom has a universal or partial veil,1,wikibase-item
P789,edibility,whether something can be eaten or not,1,wikibase-item
P811,academic minor,minor someone studied at college/university,1,wikibase-item
P927,anatomical location,where in the body does this anatomical feature lie,1,wikibase-item
P970,neurological function,The function of a neurological structure,1,wikibase-item
P1065,archive URL,URL to the archived web page specified with URL property,80,url
P1019,feed URL,"newsfeed (rss, atom etc.) of this person/organisation/project",54,url
P856,official website,URL to the website of this item,145017,url
P1421,GRIN URL,URL for the website GRIN,57087,url
P973,described at URL,the element is described at the following URL,7547,url
P854,reference URL,should be used for internet URLs as references,2237,url
P1482,Stack Exchange tag,tag on the Stack Exchange websites,1798,url
P1713,biography at the Bundestag of Germany,link to the biography pages of the German parliament,1616,url
P1324,source code repository,public source code repository,321,url
P953,full text available at,URL of a web page containing the full text for this item,246,url
P1401,bug tracking system,"bug report page where bugs, issues, and feature requests are filed for a particular software",143,url
P1613,IRC channel,official IRC channel of an institution or project,93,url
P1348,AlgaeBase URL,URL for the website AlgaeBase,57,url
P963,streaming media URL,a URL where the subject's media stream exists,41,url
P1628,equivalent property,"equivalent property in other ontologies (use in statements on properties, use property URI)",32,url
P1709,equivalent class,equivalent class in other ontologies (use property URI),14,url
P1325,external data available at,site where external data on a subject can be found,8,url
P1581,official blog,URL to the blog of this person or organization,7,url
P855,Sandbox-URL,,2,url
P968,e-mail,e-mail address,1,url
P569,date of birth,date on which the subject was born,1832898,time
P570,date of death,date on which the subject died,909740,time
P577,publication,date or point in time when this work was first published (don't replace old values),182946,time
P571,inception,date or point in time when the organization/object was founded/created,80610,time
P575,time of discovery,date or point in time when the item was discovered,50990,time
P585,point in time,"time and date something took place, existed or a statement was true",15251,time
P580,start time,"indicates the time an item begins to exist or a statement starts being valid, usually used as a qualifier",6896,time
P576,dissolved or abolished,date or point in time on which the organisation was dissolved,6891,time
P582,end time,indicates the time an item ceases to exist or a statement stops being valid,6609,time
P1619,time of official opening,"date or point in time an event, museum, theater etc. officially opened",5711,time
P619,time of spacecraft launch,date and time of spacecraft launch in UTC,5468,time
P729,service entry,date or point in time on which a piece or class of equipment entered operational service,3802,time
P730,service retirement,date or point in time on which a piece or class of equipment was retired from operational service,1491,time
P1317,floruit,"When the person was known to be active or alive, when birth or death not documented (contrast with P585 and P746). Enter two values if the subject has produced works during a range of years",477,time
P606,first flight,date or point in time on which aircraft first flew,301,time
P1191,first performance,date a work was first performed,196,time
P1636,date of baptism in early childhood,"date when a person was baptized. For times when only baptism records were available, this can be a good substitute for date of birth.",192,time
P1249,time of earliest written record,first time a subject was mentioned in writing,183,time
P746,date of disappearance,date or point of time a missing person was seen or otherwise known to be alive for the last time,31,time
P574,date of taxon name publication,date of publication of the scientific name of a taxon,25,time
P620,time of spacecraft landing,date and time of spacecraft landing in UTC,20,time
P813,retrieved,date or point in time that information was retrieved from a database or website (For use in online Sources),6,time
P1326,latest date,latest possible time that something could have occurred,3,time
P1319,earliest date,earliest date at which an event could have happened,2,time
P621,time of spacecraft orbit decay,date and time of spacecraft orbit decay in UTC,1,time
P622,spacecraft docking/undocking,,1,time
P1077,KOATUU identifier,identifier for each of the Ukrainian administrative units,27975,string
P1043,IDEO Job ID,occupation ID on IDEO,10,string
P1006,NTA identifier (Netherlands),National Thesaurus for Author names (Dutch author-name thesaurus),129367,string
P1058,ERA Journal ID,identifier for academic journals,22502,string
P1045,Sycomore ID,"ID of a person in the Sycomore database, by the French National Assembly",9354,string
P1067,Thailand central administrative unit code,identifier for each of the Thai central administrative units,6967,string
P1015,BIBSYS identifier,ID for Norwegian information systems BIBSYS,6662,string
P1005,PTBNP identifier,identifier for the Portuguese National Library,4664,string
P1047,Catholic Hierarchy ID,ID of the person on catholic-hierarchy.org,4031,string
P1004,MusicBrainz place ID,place identifier in the MusicBrainz open music encyclopedia,2468,string
P1014,AAT identifier,ID in the Art & Architecture Thesaurus by the Getty Research Institute,991,string
P1051,PSH ID,Identifier in the authority database of the Czech Technical Library,819,string
P1042,ZDB identifier,identifier for serials,656,string
P1076,ICTV virus ID,"ID in the International Committee on Taxonomy of Viruses""-database""",367,string
P1031,legal citation of this text,legal citation of legislation or a court decision,295,string
P1003,NLR (Romania) identifier,authority control identifier used at the National Library of Romania,83,string
P1085,LibraryThing work identifier,LibraryThing (LT) control number,73,string
P1010,Iran statistics ID,ID given to places on Iran,8,string
P1007,Lattes Platform number,number for the Lattes Platform entry on the person or group. Relationship between entry and subject must be supported by a source,7,string
P1055,NLM ID,identifier in the catalog of the National Library of Medicine,6,string
P1052,Portuguese Job Code CPP-2010,,4,string
P1069,Danemark Job Code (DISCO-08),Danemark Job Code DISCO-08 maintained by the DST and derived from ISCO,4,string
P1023,SBC-2010 occupation code," Dutch classification of occupations SBC maintained by the Dutch CBS (Centraal Bureau voor de Statistiek), 2010 version",3,string
P1024,SBFI occupation code,Swiss classification of occupations SBFI/SEFRI maintained by the Swiss SBFI/SEFRI,2,string
P1070,PlantList-ID,ID in the database of 'The Plant List',331190,string
P1036,Dewey Decimal Classification,"use with qualifier edition (p747)"" with item value ""DDC 23"" or create new item to represent the corresponding DDC edition""",13775,string
P1017,BAV (Vatican Library) identifier,authority control identifier used at the Vatican Library,8016,string
P1044,SWB editions,union catalog of the South-West German Library Network (SWB),138,string
P1059,CVR,The Central Business Register identifier. Number for the official database of Danish companies/organizations,98,string
P1025,SUDOC editions,item number in the French union catalog (see also P269),79,string
P1030,light characteristic of a lighthouse,description of a navigational light sequence or colour displayed on a nautical chart,53,string
P1053,ResearcherID,an identifying system for scientific authors,42,string
P1054,NDL editions,ID in the National Diet Library (see also P349),13,string
P1048,NCL identifier,authority control number of the National Central Library in Taiwan,10,string
P1084,EUL editions,catalogue number for books (editions) in the Egyptian union catalog,4,string
P1022,CNO-11 occupation code, Spanish classification of occupations CNO-11 maintained by the Spanish INE (Instituto Nacional de Estadística),2,string
P1021,KldB-2010 occupation code,German classification of occupations 2010,1,string
P225,taxon name,the currently correct scientific name of a taxon (according to the reference given),1925158,string
P646,Freebase identifier,ID specifying an equivalent page in the Freebase open knowledge graph,1154072,string
P373,Commons category,"name of the Wikimedia Commons category containing files related to this item (without the prefix Category"")""",1035226,string
P442,China administrative division code,identifier for administrative divisions of People's Republic of China (with spaces),742239,string
P281,postal code,identifier assigned by postal authorities for the subject area,612873,string
P214,VIAF identifier,Virtual International Authority File identifier,555214,string
P1566,GeoNames ID,identifier in the GeoNames geographical database,490929,string
P227,GND identifier,"international authority file of names, subjects, and organizations (please don't use type n = name, disambiguation)",348260,string
P815,ITIS TSN,unique Taxonomic Serial Number defined by Integrated Taxonomic Information System,334068,string
P960,Tropicos taxon name identifier,identification number in Tropicos database,319848,string
P345,IMDb identifier,"identification code from the Internet Movie Database (IMDb) with prefix (tt-, nm-, ch-, co-, ev-)",289276,string
P969,located at street address,street address that the subject is located at,287547,string
P961,IPNI taxon name identifier,International Plant Names Index is a database that provides an authoritative and comprehensive list of names of plants. It is different from Property:P586 which is for authors not taxon. But it is related to Property:P428.,276572,string
P685,NCBI Taxonomy ID,ID of a taxon in the Taxonomy Database by the National Center for Biotechnology Information,253787,string
P704,Ensembl Transcript ID,transcript ID issued by Ensembl database,227468,string
P244,LCNAF identifier,Library of Congress Name Authority File (only for authority control; for single books see P1144),227452,string
P213,ISNI (ISO 27729),"International Standard Name Identifier. 16 digits dumb identifier. Example: 0000 0001 0886 1508. (When displayed only it is preceded by the letters ISNI, separated from the identifier by a space, and the 16 digits are displayed as four blocks of four digits, with each block separated from the next by a space.)",226443,string
P850,World Register of Marine Species identifier,,211805,string
P639,RefSeq RNA ID,RNA Identifier,186706,string
P830,Encyclopedia of Life ID,eol.org item reference number,156271,string
P268,BnF identifier,control number for the subject issued by BNF (Bibliothèque nationale de France),154663,string
P490,provisional designation,designation of an astronomical body after its discovery and before its official name,120149,string
P434,MusicBrainz artist ID,artist identifier per the MusicBrainz open music encyclopedia,114972,string
P269,SUDOC authorities,authority control number in the French collaborative library catalog (see also P1025),112299,string
P528,catalog code,"catalogue name of an object, use with qualifier P972",98763,string
P351,Entrez Gene ID,gene identifier per the NCBI Entrez database,91337,string
P353,gene symbol,official gene symbol,91097,string
P436,MusicBrainz release group ID,release group identifier per the MusicBrainz open music encyclopedia (album),81952,string
P727,Europeana ID,"interface to millions of books, paintings, films, museum objects and archival records that have been digitised throughout Europe",75421,string
P721,OKATO identifier,identifier for every administrative unit in Russia,72016,string
P359,Rijksmonument identifier,monument identifier assigned by the Rijksdienst voor het Cultureel Erfgoed,66886,string
P764,OKTMO identifier,identifier in Classification on Objects territory of municipal formations (Russia),63131,string
P1415,Oxford Biography Index Number,"Authority control number used by Oxford University Press for online biographical resources, predominantly the Oxford Dictionary of National Biography",57534,string
P1216,English Heritage list number,number of the English Heritage list of buildings,53796,string
P349,NDL identifier,authority control number per the National Diet Library of Japan,49659,string
P236,ISSN,International Standard Serial Number (print or electronic),44401,string
P594,Ensembl Gene ID,gene identifier as per the Ensembl (European Bioinformatics Institute and the Wellcome Trust Sanger Institute)  database,43756,string
P709,Historic Scotland ID,Building ID for items in the Historic Scotland database,41431,string
P245,ULAN identifier,Getty Union List of Artist Names ID,40369,string
P593,HomoloGene ID,identification,40192,string
P649,NRHP reference number,National Register of Historic Places reference number assigned by the National Park Service of the USA,37903,string
P473,local dialing code,identifier dedicated to subject city by the area communication network,37776,string
P374,INSEE municipality code,identifier for a municipality per the National Institute of Statistics and Economic Studies in France,36904,string
P1447,Sports Reference ID,ID on the website sports-reference.com,35746,string
P354,HGNC ID,Gene identifier from the HGNC database,34245,string
P1772,USDA PLANTS ID,ID in United States Department of Agriculture PLANTS Database,33683,string
P217,inventory number,string identifying a physical object or a set of physical objects in a collection,28951,string
P650,RKDartists,ID in the RKDartists database (Rijksbureau voor Kunsthistorische Documentatie),27591,string
P243,OCLC control number,Online Computer Library Center control number,24977,string
P1562,allmovie identifier,ID for a movie on the site allmovie,24141,string
P884,State Water Register Code (Russia),Body water identification code,22334,string
P691,NKC identifier,ID in National authority file of the Czech Republic (National Library of CR),22152,string
P1273,CANTIC,Catalan authority control identifier managed by the National Library of Catalonia (BNC),21757,string
P1369,Iranian National Heritage registration number,registration number in the Iranian National Heritage database,21299,string
P274,chemical formula,description of chemical compound based on element symbols,18724,string
P380,Mérimée identifier,monument identifier per the Mérimée database of French cultural heritage,18229,string
P535,Find a Grave ID,the subject's ID in the Find a Grave database,17314,string
P843,SIRUTA code,National Institute of Statistics code for an area of Romania,16937,string
P233,SMILES,Simplified Molecular Input Line Entry Specification ,16927,string
P231,CAS registry number,chemical compound identification number per CAS registry,16739,string
P435,MusicBrainz work ID,work identifier per the MusicBrainz open music encyclopedia,16649,string
P1816,National Portrait Gallery (London) person identifier,"Identifier for sitters and artists represented in the National Portrait Gallery, London",16381,string
P1472,Commons Creator page,"name of the person's creator page on Wikimedia Commons (without the prefix Creator"")""",16216,string
P1284,Munzinger IBA,ID on the Munzinger Archiv,16196,string
P235,InChIKey,A hashed version of the full standard InChI - designed to create an identifier that encodes structural information and a can also be practically used in web searching.,15389,string
P716,JPL Small-Body Database identifier,astronomy database of small Solar System bodies,15366,string
P662,PubChem ID (CID),database of chemical molecules and their activities in biological assays (only CID number),15236,string
P234,InChI,International Chemical Identifier,14308,string
P1250,Danish Bibliometric Research Indicator (BFI) SNO/CNO,serial & conference identifier,13750,string
P1240,Danish Bibliometric Research Indicator level,,13748,string
P1156,Scopus Source ID,"Scopus uses a unique identifier for each source/publication venue (journal, conference, etc)",12664,string
P1258,Rotten Tomatoes identifier,"ID on Rotten Tomatoes: must use prefix m/"" for movies ""tv/"" for TV series (remove /s number on end unless the item is a specific season)  ""celebrity/"" for celebrities ""critic/"" for film critics ""source-"" for review sources""",12549,string
P402,OpenStreetMap Relation identifier,the ID of the relation of this place/object in OpenStreetMap,12542,string
P1747,Flora of China,TaxonId in Flora of the People's Republic of China,12153,string
P1727,Flora of North America ID,taxonId in Flora of North America,11941,string
P982,MusicBrainz area ID,area identifier per the MusicBrainz open music encyclopedia,11245,string
P439,German municipality key,identifier for municipalities and independent towns in Germany,11230,string
P957,ISBN-10,"International Standard Book Number, ten digit variant",11084,string
P652,UNII,Unique Ingredient Identifier,10846,string
P1469,FIFA player code,FIFA ID for a soccer player,10792,string
P661,ChemSpider ID,"free chemical database, owned by the Royal Society of Chemistry",10356,string
P1711,British Museum person-institution,identifier in the British Museum person-institution thesaurus,10246,string
P508,BNCF Thesaurus,identifier in the subject indexing tool of the National Central Library of Florence,9929,string
P409,NLA identifier,control number issued by the National Library of Australia (see also P1315 for the newer People Australia identifier),9829,string
P902,HDS,"identifier in HDS/HLS/DHS/DSS: Historical Dictionary of Switzerland (Q642074), a national encyclopedia",9422,string
P428,botanist author abbreviation,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",9341,string
P395,licence plate code,distinguishing signs or parts of license plate associated with the subject. For countries: international licence plate country code or distinguishing sign of vehicles,9255,string
P866,Perlentaucher ID,identifier in Perlentaucher (Q2071388),8963,string
P699,Disease Ontology ID,ID in the Disease Ontology database,8869,string
P638,PDB ID,gene entry for 3D structural data as per the PDB(Protein Data Bank) database,8851,string
P212,ISBN-13,"International Standard Book Number, thirteen digit variant.",8730,string
P935,Commons gallery,name of the Wikimedia Commons gallery page(s) related to this item (is suitable to allow multiple link to more gallery pages),8587,string
P842,Fossilworks ID,"identifier for fossil animals, plants, and microorganisms",8390,string
P1745,VASCAN ID,identifiant of the Database of Vascular Plants of Canada,8196,string
P772,INE municipality code,"identifier for Spanish municipalities, by the Spanish Statistical Office (INE)",8192,string
P635,ISTAT ID,identifier for municipalities in Italy,8110,string
P806,Italian cadastre code,identifier for Italian comunes in the cadastre,8094,string
P705,Ensembl Protein ID,protein ID issued by Ensembl database,7899,string
P1367,BBC Your Paintings artist identifier,authority control identifier for artists (creators of publicly owned oil paintings in the UK),7898,string
P215,spectral class,spectral class of an astronomical object,7831,string
P239,ICAO airport code,"four-character alphanumeric code for designating airports (for airlines, see P:230)",7822,string
P493,ICD-9,ICD catalogue codes for diseases – Version 9,7703,string
P651,Biografisch Portaal number,ID at Biografisch Portaal van Nederland,7552,string
P686,Gene Ontology ID,ID in the Gene Ontology,7366,string
P644,genomic start,genomic starting coordinate of the biological sequence (e.g. a gene),7331,string
P645,genomic end,genomic ending coordinate of the biological sequence (e.g. a gene),7328,string
P1207,NUKAT authorities,authority control number in the Center of Warsaw University Library catalog,7185,string
P723,DBNL ID,reference to the DBNL-website for Dutch language authors,7055,string
